panel,scheme,entities,value,unit,formula_id,evidence_class,status
rounds,LCLA-AKA,36,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,36,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,36,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],38,40,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],38,118,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],38,155904,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],38,40,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],38,119,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],38,243464,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],38,40,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],38,119,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],38,312160,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,38,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,38,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,38,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],40,42,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],40,124,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],40,164096,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],40,42,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],40,125,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],40,256264,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],40,42,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],40,125,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],40,328576,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,40,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,40,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,40,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],42,44,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],42,130,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],42,172288,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],42,44,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],42,131,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],42,269064,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],42,44,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],42,131,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],42,344992,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,42,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,42,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,42,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],44,46,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],44,136,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],44,180480,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],44,46,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],44,137,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
